label,message,num_characters,num_words,num_sentences
spam,goal arsenal  henry  v liverpool  henry scores with a simple shot from  yards from a pass by bergkamp to give arsenal a  goal margin after  mins,144,26,1
ham,they said if its gonna snow it will start around  or  pm tonite they are predicting an inch of accumulation,107,21,1
ham,aah bless hows your arm,23,5,1
ham,oh k  i will come tomorrow,26,6,1
ham,whats happening with you have you gotten a job and have you begun registration for permanent residency,102,17,1
ham,quite ok but a bit ex u better go eat smth now else ill feel guilty,67,16,1
spam,do you want a new video phone  anytime any network mins  inclusive video calls and downloads  per week free deltomorrow call  or reply now,138,24,1
ham,i dont want to hear anything,28,6,1
ham,hi its kate can u give me a ring asap xxx,41,11,1
ham,your account has been refilled successfully by inr  ltdecimalgt  your keralacircle prepaid account balance is rs  ltdecimalgt  your transaction id is kr ltgt,157,23,1
ham,pls give her the food preferably pap very slowly with loads of sugar you can take up to an hour to give it and then some water very very slowly,143,30,1
ham,so that means you still think of teju,37,8,1
spam,free for st week no nokia tone  ur mobile every week just txt nokia to  get txting and tell ur mates wwwgetzedcouk pobox  wwq  normptone,136,25,1
ham,hey next sun  theres a basic yoga course at bugis we can go for that pilates intro next sat tell me what time you r free,120,26,1
spam,you have  new message please call,33,6,1
ham,i told that am coming on wednesday,34,7,1
ham,eatin my lunch,14,3,1
ham,da my birthdate in certificate is in april but real date is today but dont publish it i shall give you a special treat if you keep the secret any way thanks for the wishes,171,35,1
spam,send a logo  ur lover   names joined by a heart txt love name name mobno eg love adam eve  to  yahoo poboxwwq txtno  no ads p,125,26,1
spam,get  lions england tone reply lionm  mono or lionp  poly  more go  wwwringtonescouk the original n best tones gbp network operator rates apply,142,23,1
ham,i tot u reach liao he said tshirt,33,8,1
ham,hellohow u doingwhat u been up when will u b moving out of the flat cos i will need to arrange to pick up the lamp etc take care hello caroline,143,31,1
ham,which is weird because i know i had it at one point,51,12,1
spam,for your chance to win a free bluetooth headset then simply reply back with adp,79,15,1
ham,dai what this da can i send my resume to this id,48,12,1
spam,you can donate  to unicefs asian tsunami disaster support fund by texting donate to   will be added to your next bill,117,21,1
ham,ummmmmaah many many happy returns of d day my dear sweet heart happy birthday dear,82,15,1
ham,had the money issue weigh me down but thanks to you i can breathe easier now ill make sure you dont regret it thanks,116,24,1
ham,me too watching surya movie only  after  pm vijay movie pokkiri,63,11,1
ham,is toshiba portege m gd,23,5,1
ham,ok lor wat time  finish,23,5,1
spam,want  get laid tonight want real dogging locations sent direct  ur mob join the uks largest dogging network by txting moan to nyt eca pmsgp,139,25,1
spam,datingi have had two of these only started after i sent a text to talk sport radio last week any connection do you think or coincidence,135,26,1
ham,whats that coming over the hill is it a monster hope you have a great day things r going fine here busy though,110,23,1
ham,sometimes we put walls around our heartsnot just to be safe from getting hurt but to find out who cares enough to break the walls amp get closer goodnoon,153,29,1
ham,nothing much chillin at home any super bowl plan,48,9,1
ham,i hope you thats the result of being consistently intelligent and kind start asking him about practicum links and keep your ears open and all the best ttyl,155,28,1
ham,no need for the drug anymore,28,6,1
spam,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,115,22,1
ham,shall i come to get pickle,26,6,1
ham,hi im always online on yahoo and would like to chat with you someday,68,14,1
ham,should i buy him a blackberry bold  or torch should i buy him new or used let me know plus are you saying i should buy the  ltgt g wifi ipad and what are you saying about the about the  ltgt g,192,42,1
ham,got c i lazy to type i forgot  in lect i saw a pouch but like not v nice,72,19,1
ham,kinda first one gets in at twelve aah speak tomo,48,10,1
spam,free camera phones with linerental from month with  cross ntwk mins  price txt bundle deals also avble call  or calloptoutj mf,126,21,1
ham,yup song bro no creative neva test quality he said check review online,70,13,1
ham,you are gorgeous keep those pix cumming  thank you,50,9,1
ham,hope you are having a good week just checking in,48,10,1
ham,dear how is chechi did you talk to her,38,9,1
ham,now get step  outta the way congrats again,42,8,1
ham,was thinking about chuckin ur red green n black trainners  save carryin them bac on train,89,16,1
ham,den wat will e schedule b lk on sun,35,9,1
ham,all these nice new shirts and the only thing i can wear them to is nudist themed  you in mu,91,20,1
ham,theres no point hangin on to mr not right if hes not makin u happy,66,15,1
ham,hey now am free you can call me,31,8,1
ham,what  u wearing,15,3,1
ham,aslamalaikkuminsha allah tohar beeen muht albi mufti mahfuuzmeaning same here,77,10,1
spam,someone u know has asked our dating service  contact you cant guess who call  now all will be revealed po box m wu,114,23,1
ham,u having lunch alone i now so bored,35,8,1
ham,u in town alone,15,4,1
spam,call  and send our girls into erotic ecstacy just pmin to stop texts call  nat rate,83,16,1
ham,my love  how come it took you so long to leave for zahers i got your words on ym and was happy to see them but was sad you had left i miss you,142,34,1
ham,yeah we got one lined up for us,31,8,1
ham,hes really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,153,29,1
ham,ok can,6,2,1
ham,do you mind if i ask what happened you dont have to say if it is uncomfortable,78,17,1
ham,and maybe some pressies,23,4,1
ham,honeybee said im d sweetest in d world god laughed amp said waitu havnt met d person reading this msg moral even god can crack jokes gmgngegn,141,27,1
ham,got meh when,12,3,1
ham,otherwise had part time job natuition,37,6,1
ham,sbut he had some luck catches put down,38,8,1
spam,our brand new mobile music service is now live the free music player will arrive shortly just install on your phone to browse content from the top artists,154,28,1
ham,sorry that took so long omw now,31,7,1
ham,lol grr my mom is taking forever with my prescription pharmacy is like  minutes away ugh,88,16,1
ham,why de you looking good only,28,6,1
ham,i thk  shd be ok he said plus minus  did  leave a line in between paragraphs,76,16,1
ham,uncle g just checking up on you do have a rewarding month,57,12,1
ham,nicenicehow is it working,25,4,1
ham,good stuff will do,18,4,1
spam,sports fans  get the latest sports news str  ur mobile  wk free plus a free tone txt sport on to  wwwgetzedcouk  norm txtp,122,23,1
ham,thinkin about someone is all good no drugs for that,51,10,1
ham,today am going to college so am not able to atten the class,59,13,1
ham,badrith is only for chennaii will surely pick for usno competition for him,74,13,1
ham,haha yeah  oz is kind of a shitload,35,8,1
ham,its reassuring in this crazy world,34,6,1
ham,maybe say hi to  and find out if  got his card great escape or wetherspoons,75,15,1
ham,will do you gonna be at blakes all night i might be able to get out of here a little early,90,22,1
ham,sif we have one good partnership going we will take lead,56,11,1
ham,oh just getting even with u u,29,7,1
ham,didnt you get hep b immunisation in nigeria,43,8,1
ham,am watching house  very entertaining  am getting the whole hugh laurie thing  even with the stick  indeed especially with the stick,131,21,1
ham,imagine you finally get to sink into that bath after i have put you through your paces maybe even having you eat me for a while before i left  but also imagine the feel of that cage on your cock surrounded by the bath water reminding you always who owns you  enjoy my cuck,272,54,1
spam,ur cashbalance is currently  pounds  to maximize ur cashin now send cash to  only pmsg cc  po box  tcrw,103,19,1
ham,nice line said by a broken heart plz dont cum  more times infront of me other wise once again i ll trust u good t,113,25,1
ham,sorry you never hear unless you book it one was kinda a jokethet were really looking for skinny white girls the other was one lineyou can only do so much on camera with that something like that theyre casting on the look,220,42,1
ham,sorry ill call later,20,4,1
ham,dear all as we know  ltgt th is the  ltgt th birthday of our loving gopalettan we are planning to give a small gift on that day those who like to participate in that you are welcome please contact our admin team for more details,228,45,1
ham,wewa is  iriver  all  mb,24,5,1
ham,ltgt ish minutes was  minutes ago wtf,37,7,1
ham,what should i eat fo lunch senor,32,7,1
ham,dunno lei  all decide lor how abt leona oops i tot ben is going n i msg him,75,18,1
ham,prakesh is there know,21,4,1
ham,how much it will cost approx  per month,39,8,1
spam,free message activate your  free text messages by replying to this message with the word free for terms  conditions visit wwwcom,128,21,1
ham,hi this is yijue its regarding the  textbook its intro to algorithms second edition im selling it for,101,18,1
ham,no problem baby is this is a good time to talk i called and left a message,74,17,1
ham,so what do you guys do,22,6,1
ham,what time you think youll have it need to know when i should be near campus,75,16,1
ham,ok thats great thanx a lot,26,6,1
ham,where can download clear movies dvd copies,42,7,1
ham,thanks for understanding ive been trying to tell sura that,58,10,1
spam,urgent you have won a  week free membership in our  prize jackpot txt the word claim to no  tc wwwdbuknet lccltd pobox ldnwarw,126,23,1
ham,maybe westshore or hyde park village the place near my house,60,11,1
spam,dear voucher holder have your next meal on us use the following link on your pc  enjoy a    dining experiencehttpwwwvouchmecometlpdiningasp,139,20,1
ham,gr so how do you handle the victoria island traffic plus whens the album due,76,15,1
ham,even if he my friend he is a priest call him now,48,12,1
spam,customer service annoncement you have a new years delivery waiting for you please call  now to arrange delivery,111,18,1
ham,thanx  day u r a goodmate i think ur rite sary asusual u cheered me up love u franyxxxxx,88,19,1
ham,kkadvance happy pongal,22,3,1
ham,huh so fast dat means u havent finished painting,48,9,1
ham,then i buy,10,3,1
ham,the battery is for mr adewale my uncle aka egbon,48,10,1
ham,watching telugu moviewat abt u,30,5,1
ham,said kiss kiss i cant do the sound effects he is a gorgeous man isnt he kind of person who needs a smile to brighten his day,124,27,1
ham,yes when is the appt again,26,6,1
ham,yar i wanted  scold u yest but late already i where got zhong se qing you if u ask me b he ask me then ill go out w u all lor n u still can act so real,151,39,1
ham,ok i wont call or disturb any one i know all are avoiding me i am a burden for all,82,20,1
ham,watching ajith film ah,22,4,1
spam,todays offer claim ur  worth of discount vouchers text yes to  now savamob member offers mobile t cs   sub   unsub reply x,122,22,1
ham,watching tv now i got new job,29,7,1
spam,not heard from u a while call  rude chat private line  to cum wan c pics of me gettin shagged then text pix to  end send stop  sam xxx,134,29,1
ham,that one week leave i put know that time why,44,10,1
ham,i borrow ur bag ok,18,5,1
ham,if e timing can then i go w u lor,33,10,1
ham,sad story of a man  last week was my bday my wife didnt wish me my parents forgot n so did my kids  i went to work even my colleagues did not wish as i entered my cabin my pa said  happy bday boss  i felt special she askd me  lunch after lunch she invited me to her apartment we went there she said do u mind if i go into the bedroom for a minute   ok i sed in a sexy mood she came out  minuts latr wid a caken my wife my parents my kidz my friends n my colleagues all screaming surprise  and i was waiting on the sofa    naked,527,113,1
ham,if i not meeting  all rite then ill go home lor if  dun feel like comin its ok,78,18,1
ham,im so in love with you im excited each day i spend with you you make me so happy,80,19,1
ham,shb b ok lor thanx,18,5,1
ham,do you want bold  or bb torch,29,7,1
spam,private your  account statement for  shows  unredeemed bonus points to claim call  identifier code  expires,107,15,1
ham,and also ive sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,115,24,1
ham,anything,8,1,1
